features,label,K,median_r2,mean_r2,positive,n,spearman
brightness (7),corrected,8,-0.14773961212692088,-0.22310742413590823,2,69,0.05216234967622572
brightness (7),"corrected, position removed",8,-0.15171812088415249,-0.21247951090712433,0,69,0.09970552703110844
DINOv2 (768),corrected,8,-0.06972325201995774,-0.18444836582974913,30,69,0.39339599708289447
DINOv2 (768),"corrected, position removed",8,-0.18701657876627803,-0.24246105830064088,11,69,0.2015109466543324
