plate,hm_n,hm_in,hm_rmse_um,hm_pitch_um,hm_norm,hm_rot,tilt_pp_um,tilt_frac,rgb_n,rgb_in,rgb_rmse_px,rgb_pitch_px,rgb_norm,rgb_rot,cross_rmse_um,cross_max_um,cross_slots,um_per_px_x,um_per_px_y,px_aspect,rel_rot,old_hm_norm,old_hm_rmse,old_hm_in,old_rgb_norm,old_rgb_rmse,old_rgb_in
10-15-2025_P15,64,63,7.1841568739934285,267.836411506408,0.02682292834490708,1.3970474920832463,17.202319837453395,0.7572367192196957,73,62,2.1770395100618183,216.16437452782105,0.010071222488984309,-0.2832217221217289,6.981153066830146,16.426097000069813,61,1.1040115591685051,1.4109672074110158,1.2780366253354238,1.7692085781374711,0.030811591445954203,1.5435721371315076,62,,,
10-15-2025_P16,63,63,6.8323989136072365,269.23117960941136,0.0253774429972018,1.0974480107175442,22.7155639478922,0.8131802672640434,71,62,2.662279020485898,215.91087451321278,0.012330453602618235,0.11174928484843005,6.804576338809966,14.874115520743652,62,1.137124303254534,1.3811377406552539,1.214588182402166,1.1594718519778684,0.030777051838240612,1.572329772206663,63,,,
10-15-2025_P17,64,63,5.792998066489604,265.81404722876175,0.0217934233607455,1.3385797234588621,22.174301005737572,0.774134912204564,73,62,1.8687156430813021,215.93471616579367,0.008654076918537318,-0.266664663302783,6.673192156515263,15.240329944463127,61,1.1430279574609676,1.3607430928865525,1.1904722749819698,1.7140796070012703,0.02548296125153861,1.248440413974404,61,,,
10-15-2025_P19,63,62,5.846342829385722,267.21931609644656,0.021878443949297516,0.3016621401515533,24.915884040426036,0.6882695134721425,75,60,2.073273178933398,215.82900349420635,0.009606091606631785,-0.2288999232724313,6.5896189307927555,14.611668034331677,59,1.1222576256364623,1.4001187507406805,1.2475912114623733,0.7532142661616219,0.020081027683587067,0.9267038790919503,60,,,
10-15-2025_P2,64,64,8.35118152064337,265.49815479824576,0.03145476294172177,2.377209225053592,19.948513660703657,0.7812404501780527,67,64,3.130449341016771,215.9754042435768,0.014494471497718573,-0.20031420774207964,9.199706032623812,21.718275517663304,64,1.1020246346815579,1.4161799298563669,1.2850710277139927,2.434844697818406,0.03718847251007889,1.8169252542708527,63,0.014106752218102658,3.04889001517769,63
10-15-2025_P4,64,64,7.097658410137973,268.491541259624,0.026435314784366823,1.4528054179791512,21.100258832584753,0.730760623753576,78,63,2.5024025079982164,215.50777023822198,0.011611657924129902,-0.17177764551120858,7.4392709264758725,13.53933993378939,63,1.0702031362344018,1.4733507062432982,1.376701914206124,1.718793624847095,0.03447099046934223,1.7002699693725116,64,0.030825556960139347,6.631494181046324,57
10-15-2025_P5,64,64,7.797308462660468,266.01639025911606,0.029311383614616444,1.0005526237341569,18.593987285078683,0.6117398839185988,67,63,2.7612012713056915,215.82178371148555,0.01279389514728928,-0.315701290160849,7.713216290215588,13.681958446849974,63,1.1088363447638885,1.4041716369902035,1.2663470525843943,1.5228479448127774,0.03316658209484725,1.7072198479911738,64,0.0157380337161588,3.4088137728348427,63
10-15-2025_P6,65,64,29.413555624084648,269.3399129993869,0.10920607828425191,4.433183207346989,20.12261965041783,0.7895069502357582,71,62,1.9338566284297563,215.88819719833776,0.008957676489618887,-0.1683189585647074,29.278354810979966,73.90159174970587,62,1.1022867488552937,1.4356921239485319,1.3024670081895424,3.223434705414782,,,,0.011609844999902934,2.5087013793560584,62
10-15-2025_P7,57,56,7.277242281111911,269.02509848875036,0.027050421399311256,2.0427493087197233,16.061608988252896,0.6963579703409818,74,62,2.0797522405213913,215.94787719724997,0.009630806597935275,0.014686258774198156,7.819221548287643,13.354550286186571,54,1.0878481406927467,1.438011084993215,1.3218858691779194,2.0133709439633676,,,,0.015761297867379166,3.4021696067795815,63
10-15-2025_P9,64,59,13.182222488442928,267.1012306947361,0.049352908087153625,0.16443316086170448,22.71493997831426,0.7150309030221204,69,63,3.367619522704404,216.02249223966618,0.015589207807898995,0.3007278819019764,15.377061853534249,30.01793628401466,59,1.1187163635696487,1.406624366682601,1.2573556734204576,0.7762447360596175,0.04959625454043288,2.320635408343538,62,0.025134004075321185,5.431939461584335,60
10-16-2025_P2,64,64,6.470960916247965,266.3383984449124,0.024296011968347006,1.6320266267534507,9.565204412910777,0.43164888039167415,74,62,3.863714534266202,215.72751219792303,0.017910161271972435,-0.39581272135722984,8.882631193672255,17.213718964017815,62,1.1084710540675071,1.4198144256294383,1.280876411178681,2.0326400506829896,0.03317183861169168,1.6290664264771384,64,0.029388020861345315,6.350110621473441,62
10-16-2025_P4,64,62,5.900867482466223,266.39823407637476,0.02215055029521885,1.0791531150352884,8.267285851393659,0.5221234320203162,71,62,2.539286547080884,215.86340205542479,0.011763395382923226,-0.07006938700504241,6.811237581517581,14.088006047961791,60,1.1470161661190317,1.3626310224132,1.1879789166561694,1.2152875972763477,0.030809321701084337,1.522615964384977,64,0.01709329858867877,3.697802167434685,62
10-16-2025_P6,64,63,6.159227504339583,265.1409740807552,0.023230010094417317,3.1911438519650233,5.334676144044271,0.43599916906198427,72,62,2.307972205481362,216.09884445116012,0.01068016912049236,-0.016337863778257553,7.946557369066803,16.055363529001255,61,1.100047261866255,1.417621634432816,1.2886915713310254,3.167191258668808,,,,0.017579311130419797,3.81146622524954,60
10-16-2025_P7,64,63,6.515482957866969,264.8421141807735,0.02460138553878063,3.4264258856962204,2.036175459596555,0.22091121684593798,74,61,2.71251980405006,215.81454997361942,0.012568753146540079,-0.06201954592710096,8.698852128876219,17.23141641577644,60,1.1233853183308338,1.3944145009939157,1.241261104485313,3.513960994352287,,,,,,
10-16-2025_P9,65,64,6.047099281542,266.86208871365056,0.02266001630539092,2.1048002718156007,16.385860817431947,0.664863337224136,75,61,2.484196442995399,215.8531259566945,0.01150873508078725,-0.6664639793365792,6.77910432643727,12.207329108444954,61,1.1529367491762805,1.3537553576887882,1.1741800741939947,2.8544286672543047,0.027599108751633628,1.3815994981655686,62,0.013912069364559139,3.0058515246592985,58
10-20-2025_P2,64,63,6.8242882048198785,267.2847625179793,0.02553190140930998,1.687826101073329,9.211906493676233,0.5097012723292986,79,64,2.350847888538918,216.08104267936523,0.010879473087452912,0.6430974160920444,7.794864314730844,21.709092760323095,63,1.1099507750406115,1.4044680658405766,1.2653426597131654,0.8735551462170963,0.03280251186360871,1.586118370228092,64,0.018914838647542,4.087879027079095,60
10-20-2025_P3,64,64,6.12650168891914,268.21613251481165,0.022841659938485682,1.2705474764495852,9.186300818033065,0.5504873565246744,66,63,2.1491985700944145,215.6606643495948,0.009965649399143439,0.26392276514798424,7.031404224784891,14.584299283967015,63,1.0917248459388225,1.4364572706510381,1.3157685986488334,1.2364463283144536,0.02987976462623912,1.4664876192794791,64,0.015619531212054514,3.3682078645401274,64
10-20-2025_P4,65,64,10.508698391325305,265.5840198181178,0.03956826317532986,3.155585226131365,5.03331266255385,0.4994174039250165,77,63,2.350684831573669,215.8495949396768,0.010890383334889332,0.11615272949897303,10.608996822048736,20.821345066915086,63,1.0600604409309258,1.4722768008063105,1.388861185606911,2.9594672082629736,0.04106998016504673,1.9591712837137338,60,0.01648972915000314,3.555889834957501,59
10-20-2025_P5,65,64,7.902076649930731,264.8175215167373,0.029839704732042414,0.8390687178717937,4.22471357068354,0.33928584999692235,85,62,2.5010957333089197,215.90106292353738,0.01158445307976412,-0.03701187576557554,9.390203143635759,18.2875482140641,62,1.1023848940775425,1.4184366866274756,1.2866982251370562,0.5914202455761054,0.037330540266527934,1.8193566428136068,64,,,
